Drug,Therapeuti_Area,Biomarker,Labeling_Sections
Thioguanine (1),Oncology,TPMT,"Dosage and Administration, Warnings, Precautions, Clinical Pharmacology"
Thioguanine (2),Oncology,NUDT15,"Dosage and Administration, Warnings, Precautions, Clinical Pharmacology"
Tipiracil and Trifluridine (1),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Tipiracil and Trifluridine (2),Oncology,RAS,"Indications and Usage, Clinical Studies"
Toremifene,Oncology,ESR (Hormone Receptor),"Indications and Usage, Clinical Studies"
Trametinib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Trametinib (2),Oncology,G6PD,Adverse Reactions
Trametinib (3),Oncology,RAS,Warnings and Precautions
Trastuzumab (1),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Clinical Pharmacology, Clinical Studies"
Trastuzumab (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Tretinoin,Oncology,PML-RARA,"Indications and Usage, Warnings, Clinical Pharmacology"
Tucatinib,Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Vemurafenib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Vemurafenib (2),Oncology,RAS,"Warnings and Precautions, Adverse Reactions"
Venetoclax (1),Oncology,Chromosome 17p,Clinical Studies
Venetoclax (2),Oncology,Chromosome 11q,Clinical Studies
Venetoclax (3),Oncology,TP53,Clinical Studies
Venetoclax (4),Oncology,IDH1,Clinical Studies
Venetoclax (5),Oncology,IDH2,Clinical Studies
Venetoclax (6),Oncology,IGH,Clinical Studies
Venetoclax (7),Oncology,NPM1,Clinical Studies
Venetoclax (8),Oncology,FLT3,Clinical Studies
Vincristine,Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Adverse Reactions, Clinical Studies"
